date,open,high,low,close,volume,close_time,asset_volume,trade_number,taker_buy_base,taker_buy_quote,name
2019-03-27,3948.77000000,4048.00000000,3936.15000000,4038.05000000,32364.55585200,1553731199999,129681258.01621350,224309,17964.55060100,71983196.76062553,BTCUSDT
2019-03-28,4039.58000000,4039.70000000,4002.00000000,4027.81000000,20089.29387500,1553817599999,80822230.57984656,157060,10111.82627600,40683986.77430117,BTCUSDT
2019-03-29,4028.22000000,4123.71000000,4024.03000000,4103.25000000,30084.21744400,1553903999999,122585822.58650480,203826,16800.50957200,68459620.27240319,BTCUSDT
2019-03-30,4104.24000000,4140.00000000,4052.00000000,4106.97000000,19509.29260100,1553990399999,79853835.58182401,162463,10322.14877500,42255037.00428935,BTCUSDT
2019-03-31,4106.99000000,4116.12000000,4082.57000000,4103.95000000,13525.08743300,1554076799999,55472147.12701675,124046,6824.65737800,27993469.17112726,BTCUSDT
2019-04-01,4102.44000000,4158.70000000,4067.00000000,4144.56000000,25507.06764100,1554163199999,105388238.14788892,184268,12915.28932000,53371959.95327402,BTCUSDT
2019-04-02,4144.54000000,4897.99000000,4140.54000000,4857.29000000,105383.63926300,1554249599999,489018726.75750669,609133,55726.14168400,258300768.81540301,BTCUSDT
2019-04-03,4857.19000000,5275.01000000,4753.50000000,4932.60000000,109890.12574300,1554335999999,548900970.91788429,692019,55975.58476100,279654422.07491424,BTCUSDT
2019-04-04,4932.59000000,5039.08000000,4777.00000000,4898.66000000,61054.25416800,1554422399999,301411332.00902432,419141,31203.30835400,154090564.79115182,BTCUSDT
2019-04-05,4898.64000000,5028.22000000,4880.62000000,5004.95000000,39768.55280600,1554508799999,197660830.71096662,292375,21235.63623700,105586318.20991643,BTCUSDT
2019-04-06,5004.96000000,5205.00000000,4928.59000000,5043.89000000,41770.84231300,1554595199999,210963411.61313188,281237,21796.02186900,110119190.88917793,BTCUSDT
2019-04-07,5042.07000000,5234.00000000,5026.00000000,5170.27000000,37615.48680400,1554681599999,192916750.57190406,274084,19504.61283200,100069310.55713653,BTCUSDT
2019-04-08,5170.27000000,5305.00000000,5039.00000000,5236.90000000,50178.43078200,1554767999999,260487077.76756680,350828,25302.16540200,131396468.34738519,BTCUSDT
2019-04-09,5238.38000000,5238.40000000,5076.68000000,5150.00000000,34067.01231100,1554854399999,175633627.31637351,253381,16967.00611500,87496291.75731626,BTCUSDT
2019-04-10,5150.00000000,5422.00000000,5135.00000000,5308.25000000,40073.62047100,1554940799999,210870034.51205530,260967,21269.62094900,111952601.71234791,BTCUSDT
2019-04-11,5307.86000000,5332.67000000,4927.00000000,5017.37000000,54696.60068600,1555027199999,277736905.85749792,369304,26631.11240900,135174561.68852918,BTCUSDT
2019-04-12,5017.37000000,5080.58000000,4861.22000000,5048.01000000,33276.67861400,1555113599999,166485761.07931210,226036,16899.59053300,84561818.27888816,BTCUSDT
2019-04-13,5047.00000000,5099.00000000,5004.00000000,5045.22000000,17292.45680200,1555199999999,87375984.44461506,138674,8692.05325900,43925293.92220215,BTCUSDT
2019-04-14,5047.45000000,5152.99000000,5000.00000000,5131.30000000,18281.60773900,1555286399999,92594930.42710131,131700,10043.91166700,50893945.02767781,BTCUSDT
2019-04-15,5131.28000000,5167.38000000,4950.00000000,5024.95000000,29057.19158100,1555372799999,147687551.94147710,204944,14170.25240200,72070166.00084409,BTCUSDT
2019-04-16,5024.95000000,5197.72000000,5003.94000000,5173.72000000,24242.22949300,1555459199999,123581651.71216356,168550,12804.63376800,65290617.51599363,BTCUSDT
2019-04-17,5173.72000000,5230.40000000,5146.80000000,5202.82000000,23307.53613400,1555545599999,120972345.51821637,179490,12172.53172400,63190167.89632924,BTCUSDT
2019-04-18,5202.41000000,5287.00000000,5198.80000000,5258.44000000,22619.23900100,1555631999999,118573129.86520114,167110,12104.85293200,63464128.54331125,BTCUSDT
2019-04-19,5258.44000000,5320.00000000,5175.00000000,5258.68000000,24611.23632300,1555718399999,128937309.63806376,178148,12889.68334400,67549701.12506344,BTCUSDT
2019-04-20,5258.68000000,5333.42000000,5230.10000000,5291.73000000,19168.90827400,1555804799999,101343660.15324434,157080,10029.27226200,53029542.91017945,BTCUSDT
2019-04-21,5292.91000000,5314.35000000,5165.00000000,5256.14000000,25549.57093900,1555891199999,133929931.15068736,210494,13147.77101600,68909870.81367928,BTCUSDT
2019-04-22,5257.41000000,5400.00000000,5208.35000000,5357.14000000,29563.85230900,1555977599999,156632202.97099613,210361,15828.00485100,83879362.28322349,BTCUSDT
2019-04-23,5357.14000000,5600.00000000,5332.41000000,5493.31000000,41262.10391700,1556063999999,227154061.85771411,282563,21260.01446900,117054771.35759218,BTCUSDT
2019-04-24,5490.91000000,5582.20000000,5333.35000000,5415.00000000,48224.15241300,1556150399999,262493252.93584237,339599,23401.18852000,127419838.49784201,BTCUSDT
2019-04-25,5415.00000000,5491.84000000,5102.00000000,5219.90000000,49636.08994800,1556236799999,265091565.61466024,331089,21401.17196500,114223925.41789762,BTCUSDT
2019-04-26,5220.47000000,5510.00000000,5161.62000000,5314.10000000,48912.29451300,1556323199999,259659705.65138580,333183,25076.71829700,133163032.45656707,BTCUSDT
2019-04-27,5315.00000000,5342.50000000,5257.67000000,5295.69000000,15422.89693500,1556409599999,81749716.42174439,145733,7918.22705600,41978251.89852615,BTCUSDT
2019-04-28,5295.69000000,5340.00000000,5259.48000000,5307.52000000,14371.43386900,1556495999999,76277087.37424076,127730,7160.77372500,38011547.93921391,BTCUSDT
2019-04-29,5309.81000000,5332.00000000,5178.80000000,5238.14000000,19918.13507900,1556582399999,104822151.51444980,178472,9983.62213700,52529726.63061370,BTCUSDT
2019-04-30,5238.14000000,5339.98000000,5192.15000000,5320.81000000,22238.06823000,1556668799999,117309839.23079812,180989,12264.55293800,64721155.04645376,BTCUSDT
2019-05-01,5321.94000000,5402.00000000,5316.20000000,5383.20000000,17217.47321600,1556755199999,92194935.60478040,161488,9636.26589900,51604847.88561128,BTCUSDT
2019-05-02,5383.20000000,5538.00000000,5370.00000000,5492.87000000,22795.78783500,1556841599999,124498567.20765440,181896,11908.89589200,65029410.50078300,BTCUSDT
2019-05-03,5494.81000000,5844.00000000,5477.57000000,5772.69000000,46297.17284900,1556927999999,264435878.92811019,338298,24992.74319000,142732584.07587240,BTCUSDT
2019-05-04,5770.62000000,5900.00000000,5587.45000000,5829.45000000,39682.40899100,1557014399999,228942582.45077919,283145,21037.29947700,121524183.92743250,BTCUSDT
2019-05-05,5829.83000000,5839.90000000,5696.00000000,5775.62000000,23822.54377500,1557100799999,137653160.76602159,185365,11824.08792100,68357177.93240788,BTCUSDT
